Kód obce;Název obce;Voliči v seznamu;Vydané obálky;Platné hlasy;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
563528;Albrechtice v Jizerských horách;277;211;210;37;0;0;9;12;11;9;1;0;0;0;40;0;16;45;0;0;6;0;1;1;0;21;1
563536;Bedřichov;304;237;233;66;0;0;4;32;8;4;0;3;0;2;38;0;17;42;0;0;5;0;2;1;0;9;0
530425;Dalešice;147;107;107;10;0;1;9;11;5;2;0;2;1;0;13;0;7;27;0;0;3;0;1;0;0;14;1
563552;Desná;2542;1360;1342;68;1;2;55;197;129;11;23;11;1;3;163;1;42;410;0;2;21;1;9;0;2;182;8
563561;Držkov;479;305;302;37;1;0;19;29;25;1;3;3;0;0;39;0;3;92;0;2;9;2;2;0;0;33;2
563579;Frýdštejn;717;501;500;56;0;0;30;93;20;8;9;13;0;1;50;0;25;158;0;0;5;0;0;0;2;29;1
563510;Jablonec nad Nisou;36043;21505;21341;2786;17;16;1201;1593;1111;294;166;366;24;20;3258;19;1029;6358;21;40;318;13;151;30;42;2393;75
563595;Janov nad Nisou;1076;653;649;82;0;0;19;69;20;7;3;14;1;1;109;2;41;198;1;2;7;1;4;3;1;64;0
563609;Jenišovice;878;571;569;62;3;1;28;93;35;9;6;11;1;0;73;0;26;143;1;0;17;0;2;0;3;54;1
563617;Jílové u Držkova;168;108;106;6;0;0;0;15;9;0;5;1;0;1;6;0;4;32;0;0;3;0;0;2;0;19;3
546585;Jiřetín pod Bukovou;432;274;271;18;0;1;19;24;18;1;4;2;0;2;20;3;7;115;0;1;4;0;0;3;0;28;1
563633;Josefův Důl;772;464;462;72;2;0;28;40;35;2;6;5;1;2;67;0;23;136;0;0;8;0;3;0;0;30;2
563641;Koberovy;850;618;614;84;0;3;43;78;20;5;1;10;0;0;100;0;39;157;0;0;15;0;1;4;0;52;2
563668;Kořenov;867;555;552;80;0;0;13;90;47;6;6;12;1;0;50;33;28;116;2;4;13;3;6;0;2;40;0
563676;Líšný;235;147;146;17;1;0;15;23;8;3;5;0;0;0;11;0;11;29;0;0;3;0;0;0;0;20;0
563684;Loužnice;189;138;134;20;0;0;9;20;8;0;1;4;0;0;19;0;8;34;0;0;4;0;0;1;0;6;0
563692;Lučany nad Nisou;1512;938;929;107;0;0;42;97;59;12;13;13;0;1;132;0;45;255;1;1;15;0;3;0;1;128;4
563706;Malá Skála;1002;743;737;129;1;1;23;141;35;14;8;13;0;0;94;1;54;153;0;1;11;0;5;1;2;49;1
563714;Maršovice;456;324;322;38;0;0;15;30;18;3;2;13;1;1;57;0;12;94;0;0;0;0;1;1;0;36;0
563731;Nová Ves nad Nisou;645;414;413;66;1;0;21;19;24;5;1;7;0;0;70;1;17;117;0;2;10;0;5;2;1;44;0
563749;Pěnčín;1502;1009;1008;113;1;2;46;106;112;10;9;12;1;0;157;2;39;266;2;1;8;0;5;1;1;112;2
563757;Plavy;833;500;497;57;1;0;26;61;28;4;14;7;1;0;56;0;14;130;1;3;5;0;7;1;1;78;2
546577;Pulečný;325;212;212;21;0;0;7;15;8;4;1;10;0;0;48;2;16;50;0;2;4;0;0;0;0;23;1
563773;Radčice;130;98;98;20;0;0;5;9;12;1;0;1;0;0;14;0;5;20;0;0;0;0;0;0;0;9;2
563781;Rádlo;670;459;455;47;0;1;14;79;29;5;5;12;1;0;71;1;17;124;2;0;6;0;1;1;2;36;1
563790;Rychnov u Jablonce nad Nisou;2109;1406;1396;202;1;0;80;162;61;22;21;20;0;3;184;5;66;392;0;4;12;0;13;1;2;142;3
563803;Skuhrov;455;331;327;24;0;3;15;49;17;7;1;3;0;1;41;0;15;109;0;0;4;0;1;0;0;37;0
563811;Smržovka;2911;1737;1722;290;2;1;82;121;102;13;26;24;3;2;238;2;55;477;1;2;37;2;18;5;1;216;2
563820;Tanvald;5069;2721;2693;248;3;2;182;197;246;29;25;39;1;4;282;5;78;843;4;4;39;0;29;3;5;407;18
563838;Velké Hamry;2192;1164;1153;123;0;0;57;113;107;9;9;7;1;2;120;1;39;372;0;5;9;0;26;3;6;139;5
563846;Vlastiboř;112;71;70;5;0;0;8;16;8;0;0;0;0;0;6;0;3;16;0;0;2;0;1;0;0;4;1
563854;Zásada;723;498;492;60;0;0;23;63;31;5;7;3;1;0;59;0;35;123;0;0;20;1;5;1;1;53;1
563862;Zlatá Olešnice;418;301;299;30;0;0;13;40;30;1;4;3;0;2;56;0;11;67;0;0;0;1;9;1;1;27;3
563871;Železný Brod;4852;3010;2984;309;3;3;159;413;191;26;28;33;4;10;396;1;192;768;2;7;72;2;24;6;3;323;9
